# Harbor City
#
# An irregular city organized around an outer bypass and a small number of
# arterial roads. Nearby intersections are deliberately not always connected:
# traffic must use the ring road, district streets, or one of the main routes.
# This produces recognizable neighborhoods instead of a larger rectangular grid.
#
# To add another city to the application's Load City menu, place a valid
# .csv map file in src/main/resources/maps. No Java changes are required.

[INTERSECTIONS]
id,x,y
NORTH-GATE,275,25
HILLSIDE,95,70
UNIVERSITY,185,125
OLD-TOWN,305,115
STADIUM,455,65
WEST-END,25,220
MARKET-SQUARE,155,225
CENTRAL-STATION,300,215
EAST-JUNCTION,455,205
PARKSIDE,85,355
CIVIC-CENTRE,230,325
DOCKS-WEST,355,350
RIVER-PORT,520,325
SOUTH-GATE,230,465
AIRPORT-LINK,500,465

[ROADS]
id,fromId,toId,lengthMeters,lanes,approachDirection
# Outer bypass: a broad loop around the city.
NORTH-GATE-HILLSIDE,NORTH-GATE,HILLSIDE,205,3,EAST
HILLSIDE-NORTH-GATE,HILLSIDE,NORTH-GATE,205,3,WEST
HILLSIDE-WEST-END,HILLSIDE,WEST-END,165,2,NORTH
WEST-END-HILLSIDE,WEST-END,HILLSIDE,165,2,SOUTH
WEST-END-PARKSIDE,WEST-END,PARKSIDE,150,2,NORTH
PARKSIDE-WEST-END,PARKSIDE,WEST-END,150,2,SOUTH
PARKSIDE-SOUTH-GATE,PARKSIDE,SOUTH-GATE,190,3,WEST
SOUTH-GATE-PARKSIDE,SOUTH-GATE,PARKSIDE,190,3,EAST
SOUTH-GATE-AIRPORT-LINK,SOUTH-GATE,AIRPORT-LINK,280,3,WEST
AIRPORT-LINK-SOUTH-GATE,AIRPORT-LINK,SOUTH-GATE,280,3,EAST
AIRPORT-LINK-RIVER-PORT,AIRPORT-LINK,RIVER-PORT,145,3,SOUTH
RIVER-PORT-AIRPORT-LINK,RIVER-PORT,AIRPORT-LINK,145,3,NORTH
RIVER-PORT-STADIUM,RIVER-PORT,STADIUM,270,3,SOUTH
STADIUM-RIVER-PORT,STADIUM,RIVER-PORT,270,3,NORTH
STADIUM-NORTH-GATE,STADIUM,NORTH-GATE,185,3,EAST
NORTH-GATE-STADIUM,NORTH-GATE,STADIUM,185,3,WEST

# Northern district: smaller streets around the university and old town.
HILLSIDE-UNIVERSITY,HILLSIDE,UNIVERSITY,110,1,WEST
UNIVERSITY-HILLSIDE,UNIVERSITY,HILLSIDE,110,1,EAST
UNIVERSITY-OLD-TOWN,UNIVERSITY,OLD-TOWN,125,1,WEST
OLD-TOWN-UNIVERSITY,OLD-TOWN,UNIVERSITY,125,1,EAST
OLD-TOWN-NORTH-GATE,OLD-TOWN,NORTH-GATE,100,2,SOUTH
NORTH-GATE-OLD-TOWN,NORTH-GATE,OLD-TOWN,100,2,NORTH

# West-to-east central arterial, the main route across the city.
WEST-END-MARKET-SQUARE,WEST-END,MARKET-SQUARE,135,2,WEST
MARKET-SQUARE-WEST-END,MARKET-SQUARE,WEST-END,135,2,EAST
MARKET-SQUARE-CENTRAL-STATION,MARKET-SQUARE,CENTRAL-STATION,150,3,WEST
CENTRAL-STATION-MARKET-SQUARE,CENTRAL-STATION,MARKET-SQUARE,150,3,EAST
CENTRAL-STATION-EAST-JUNCTION,CENTRAL-STATION,EAST-JUNCTION,160,3,WEST
EAST-JUNCTION-CENTRAL-STATION,EAST-JUNCTION,CENTRAL-STATION,160,3,EAST

# District access roads. Notice that several visually nearby places have no
# direct edge and must enter the arterial or bypass first.
UNIVERSITY-MARKET-SQUARE,UNIVERSITY,MARKET-SQUARE,110,1,NORTH
MARKET-SQUARE-UNIVERSITY,MARKET-SQUARE,UNIVERSITY,110,1,SOUTH
OLD-TOWN-CENTRAL-STATION,OLD-TOWN,CENTRAL-STATION,105,2,NORTH
CENTRAL-STATION-OLD-TOWN,CENTRAL-STATION,OLD-TOWN,105,2,SOUTH
MARKET-SQUARE-PARKSIDE,MARKET-SQUARE,PARKSIDE,145,1,NORTH
PARKSIDE-MARKET-SQUARE,PARKSIDE,MARKET-SQUARE,145,1,SOUTH
MARKET-SQUARE-CIVIC-CENTRE,MARKET-SQUARE,CIVIC-CENTRE,125,2,NORTH
CIVIC-CENTRE-MARKET-SQUARE,CIVIC-CENTRE,MARKET-SQUARE,125,2,SOUTH
CENTRAL-STATION-CIVIC-CENTRE,CENTRAL-STATION,CIVIC-CENTRE,135,2,NORTH
CIVIC-CENTRE-CENTRAL-STATION,CIVIC-CENTRE,CENTRAL-STATION,135,2,SOUTH
CIVIC-CENTRE-SOUTH-GATE,CIVIC-CENTRE,SOUTH-GATE,145,2,NORTH
SOUTH-GATE-CIVIC-CENTRE,SOUTH-GATE,CIVIC-CENTRE,145,2,SOUTH

# Eastern express connection and port roads.
STADIUM-EAST-JUNCTION,STADIUM,EAST-JUNCTION,145,2,NORTH
EAST-JUNCTION-STADIUM,EAST-JUNCTION,STADIUM,145,2,SOUTH
EAST-JUNCTION-RIVER-PORT,EAST-JUNCTION,RIVER-PORT,140,2,NORTH
RIVER-PORT-EAST-JUNCTION,RIVER-PORT,EAST-JUNCTION,140,2,SOUTH
CENTRAL-STATION-DOCKS-WEST,CENTRAL-STATION,DOCKS-WEST,150,2,NORTH
DOCKS-WEST-CENTRAL-STATION,DOCKS-WEST,CENTRAL-STATION,150,2,SOUTH
CIVIC-CENTRE-DOCKS-WEST,CIVIC-CENTRE,DOCKS-WEST,130,1,WEST
DOCKS-WEST-CIVIC-CENTRE,DOCKS-WEST,CIVIC-CENTRE,130,1,EAST
DOCKS-WEST-RIVER-PORT,DOCKS-WEST,RIVER-PORT,170,2,WEST
RIVER-PORT-DOCKS-WEST,RIVER-PORT,DOCKS-WEST,170,2,EAST
DOCKS-WEST-AIRPORT-LINK,DOCKS-WEST,AIRPORT-LINK,180,2,NORTH
AIRPORT-LINK-DOCKS-WEST,AIRPORT-LINK,DOCKS-WEST,180,2,SOUTH
